MSI,first,second,third,label
0.5612163009404388,0.187,0.317,0.7384999999999999,Happy
0.6642443181818182,0.1905,0.3065,0.68075,Happy
0.6080821052631579,0.186,0.275,0.6395,Happy
0.47001423487544486,0.167,0.254,0.686,Happy
0.5165,0.223,0.2865,0.47175,Happy
0.4352761904761905,0.177,0.2585,0.5362500000000001,Happy
0.8289806576402321,0.179,0.292,0.639,Happy
0.36396385542168674,0.228,0.269,0.3275,Happy
0.417258064516129,0.189,0.268,0.395,Happy
0.3569866666666667,0.1515,0.23,0.4105,Happy
4.511827361563518,0.228,0.309,0.846,Happy
0.5221824324324325,0.17975000000000002,0.2775,0.71425,Happy
0.41175,0.16875,0.2715,0.40924999999999995,Happy
0.3276952380952381,0.165,0.243,0.371,Happy
0.415375,0.16675,0.249,0.49375,Happy
0.2841884057971015,0.181,0.233,0.333,Happy
0.25419117647058825,0.16025,0.217,0.32125000000000004,Happy
0.448652278177458,0.168,0.244,0.496,Happy
0.45426190476190476,0.16825,0.287,0.629,Happy
0.7311861471861472,0.163,0.241,0.6645000000000001,Happy
0.3942485875706215,0.183,0.259,0.482,Happy
0.8131224891689641,0.151,0.22,0.584,Happy
1.105455919395466,0.14925,0.208,0.49849999999999994,Happy
0.3253404255319149,0.159,0.2265,0.3855,Happy
0.899,0.17025,0.238,0.5625,Happy
0.37115492957746476,0.16999999999999998,0.275,0.4635,Happy
0.2894307692307692,0.168,0.22,0.298,Happy
0.3033421052631579,0.167,0.252,0.32775000000000004,Happy
0.3169,0.15325,0.2315,0.35575,Happy
0.29504109589041094,0.183,0.235,0.317,Happy
0.5001153846153846,0.247,0.333,0.70025,Happy
0.8661551724137931,0.25225,0.496,0.9984999999999998,Sad
0.6465620567375887,0.191,0.3205,0.723,Sad
0.8154045801526718,0.4345,0.607,0.892,Sad
0.7749538784067086,0.221,0.336,0.652,Sad
0.6694666666666667,0.305,0.51,0.844,Sad
0.7213076923076923,0.417,0.6315,0.90425,Sad
0.5160697674418605,0.212,0.368,0.701,Sad
0.9253157894736842,0.56975,0.849,1.0705,Sad
0.8693186813186813,0.6205,0.759,0.896,Sad
0.840112676056338,0.5945,0.725,1.0074999999999998,Sad
0.7649876543209877,0.548,0.722,0.978,Sad
0.7944153846153846,0.705,0.802,0.918,Sad
0.57133,0.394,0.503,0.727,Sad
0.9012903225806451,0.74475,0.8485,1.01625,Sad
0.9041830985915493,0.5894999999999999,0.771,1.056,Sad
0.616265625,0.45275,0.5625,0.786,Sad
0.7234705882352941,0.56875,0.6625000000000001,0.87125,Sad
0.8951267605633803,0.748,0.851,1.0455,Sad
0.5707,0.4365,0.5345,0.6915,Sad
2.067903409090909,0.57725,0.7535000000000001,0.9197500000000001,Sad
0.8972539682539683,0.735,0.862,0.991,Sad
0.6253389830508475,0.4825,0.58,0.7505,Sad
1.021981818181818,0.854,0.964,1.177,Sad
0.6230343347639485,0.263,0.385,0.875,Stressed
0.8769145962732919,0.16575,0.236,0.59,Stressed
0.6248590604026846,0.186,0.254,0.771,Stressed
0.5003703703703704,0.223,0.355,0.583,Stressed
0.519,0.28924999999999995,0.3845,0.6527499999999999,Stressed
0.5798823529411765,0.40975,0.524,0.7264999999999999,Stressed
0.5309473684210526,0.323,0.48,0.728,Stressed
0.3845892857142857,0.217,0.2995,0.5235,Stressed
0.6861304347826087,0.455,0.571,0.888,Stressed
0.5306039603960396,0.199,0.282,0.594,Relaxed
1.5142097902097902,0.232,0.354,0.838,Relaxed
5.2809622641509435,0.336,0.56,0.802,Relaxed
1.4438392857142857,0.174,0.2875,0.6637500000000001,Relaxed
0.42401923076923076,0.208,0.229,0.314,Relaxed
0.6027518248175182,0.184,0.316,0.819,Relaxed
4.891378378378379,0.1795,0.267,0.5365,Relaxed
0.5105267857142857,0.19975000000000004,0.2915,0.6185,Relaxed
0.5946116504854368,0.1895,0.3,0.6054999999999999,Relaxed
0.4662429906542056,0.193,0.365,0.7035,Relaxed
0.5438642857142857,0.19874999999999998,0.3065,0.63225,Relaxed
