MSI,first,second,third,label
13.071627659574467,0.258,0.349,0.48524999999999996,Happy
2.084548309178744,0.20925,0.312,0.48475,Happy
1.0967500000000001,0.8587500000000001,1.068,1.306,Happy
0.3297,0.22125,0.243,0.27025,Happy
3.165681318681319,0.3025,0.393,0.5814999999999999,Happy
1.3896082191780823,0.243,0.3345,0.49424999999999997,Happy
3.054321518987342,0.23,0.324,0.4795,Happy
0.5986619718309859,0.231,0.422,0.629,Happy
3.6027989323843417,0.241,0.33,0.476,Happy
0.6246078431372549,0.213,0.247,1.06,Happy
0.33841935483870966,0.0735,0.369,0.473,Happy
0.44881481481481483,0.285,0.376,0.531,Happy
0.45272727272727276,0.195,0.303,0.393,Happy
1.3944539007092198,0.22975,0.3345,0.47625,Happy
1.8226747720364742,0.257,0.35,0.511,Happy
4.6311,0.089,0.3045,0.49350000000000005,Happy
31.045913793103452,0.1945,0.3745,0.553,Happy
1.0325924657534247,0.255,0.3615,0.50925,Happy
0.45054,0.2585,0.376,0.494,Happy
212.26028571428571,1.028,1.593,297.663,Happy
0.9020410334346505,0.227,0.33,0.492,Happy
11.65261224489796,0.2645,0.3565,0.5085000000000001,Happy
0.5862049689440993,0.24,0.348,0.509,Happy
19.766190476190477,0.0705,0.2835,0.5215000000000001,Happy
1.2187532467532467,0.242,0.332,0.482,Happy
0.46140000000000003,0.243,0.579,0.63,Happy
1.3974145810663765,0.2255,0.317,0.5035000000000001,Happy
0.578,0.331,0.432,0.898,Happy
1.0594716242661448,0.22925,0.332,0.49049999999999994,Happy
7.2697246376811595,0.2365,0.366,0.5425,Happy
1.3897436332767403,0.244,0.359,0.577,Happy
1.084071507760532,0.23,0.328,0.477,Happy
2.243540453074434,0.241,0.334,0.483,Happy
0.9957431781701445,0.236,0.333,0.499,Happy
4.186795389048991,0.2465,0.35,0.512,Happy
1.751141891891892,0.2565,0.379,0.55575,Happy
1.3349402552204177,0.242,0.36,0.51225,Happy
0.7534375,0.2555,0.352,0.50025,Happy
0.9010920801526717,0.224,0.33,0.475,Happy
0.9868450184501845,0.227,0.331,0.47924999999999995,Happy
0.5491923076923078,0.27475,0.442,0.6737499999999998,Happy
97.8691935483871,0.344,0.496,0.8135,Happy
83.54115625,0.244,0.3305,0.48650000000000004,Happy
16.61506954436451,0.244,0.368,0.555,Happy
4.756449856733524,0.248,0.363,0.503,Happy
137.25185714285715,0.786,0.824,301.455,Happy
0.5186870748299319,0.259,0.363,0.5255000000000001,Happy
1.547111111111111,0.242,0.343,0.491,Happy
1.1069380292532718,0.231,0.336,0.46575000000000005,Happy
0.9611961845102506,0.236,0.341,0.467,Happy
0.9588529956763434,0.243,0.348,0.4805,Happy
2.5135355648535564,0.237,0.346,0.48175,Happy
213.0925,0.64525,1.0715,213.51875,Happy
1.4496603773584904,0.218,0.343,0.447,Happy
0.9384347826086956,0.402,0.787,1.1205,Sad
1.1083258426966291,0.207,0.305,0.492,Sad
0.22154545454545455,0.20375000000000001,0.225,0.23575,Sad
9.846743362831859,0.2,0.231,0.3045,Sad
74.40729999999999,0.29200000000000004,0.418,0.625,Sad
1.4504,0.663,1.347,2.018,Sad
3.160685714285714,0.243,0.329,0.694,Sad
14.732675,0.26775000000000004,0.368,0.63325,Sad
0.9899381443298969,0.228,0.349,0.511,Sad
0.48275324675324677,0.306,0.436,0.58,Sad
16.67957142857143,0.24975,0.434,0.7115,Stressed
3.597390804597701,0.227,0.366,0.5315000000000001,Stressed
0.8756032608695653,0.25475000000000003,0.36,0.52275,Stressed
4.007062953995157,0.225,0.334,0.485,Stressed
8.740384615384615,0.22325,0.353,0.5475000000000001,Stressed
1.0937213622291022,0.2265,0.318,0.437,Stressed
2.6738235294117647,0.27425,0.4145,0.495,Stressed
0.16345,0.1145,0.161,0.198,Relaxed
0.1798,0.064,0.141,0.22949999999999998,Relaxed
0.28488652482269505,0.07,0.205,0.24,Relaxed
0.40191503267973855,0.197,0.214,0.275,Relaxed
38.500768421052626,0.27,0.384,0.727,Relaxed
0.9146279069767441,0.202,0.217,0.2665,Relaxed
9.655392655367232,0.229,0.392,0.73725,Relaxed
4.689333333333333,0.258,0.358,0.4885,Relaxed
76.13381481481481,0.268,0.379,0.535,Relaxed
49.64043243243243,0.245,0.374,0.692,Relaxed
6.340142857142856,0.375,0.462,0.55,Relaxed
0.4667843137254902,0.27,0.346,0.585,Relaxed
1.3636975308641976,0.273,0.371,0.577,Relaxed
161.652,1.895,3.3449999999999998,4.8062499999999995,Relaxed
2.282619718309859,0.273,0.382,0.5874999999999999,Relaxed
62.02014141414142,0.25,0.369,0.5025,Relaxed
23.00998367346939,0.256,0.363,0.51,Relaxed
11.915180645161291,0.2695,0.367,0.515,Relaxed
17.89322891566265,0.2915,0.418,0.5954999999999999,Relaxed
3.6841052631578948,0.2545,0.41400000000000003,0.5854999999999999,Relaxed
22.68624152542373,0.257,0.3915,0.64325,Relaxed
7.4560208333333335,0.243,0.3545,0.50075,Relaxed
0.937469512195122,0.253,0.3885,0.6127499999999999,Relaxed
3.3924485219164118,0.228,0.325,0.464,Relaxed
0.856,0.2975,0.371,0.40325,Relaxed
1.5611294642857143,0.24775,0.3395,0.481,Relaxed
5.658592592592592,0.259,0.34099999999999997,0.444,Relaxed
0.6839642857142857,0.2495,0.345,0.4525,Relaxed
1.5135714285714286,0.2555,0.389,0.46950000000000003,Relaxed
119.9194,0.894,0.987,3.327,Relaxed
52.294288,0.258,0.362,0.557,Relaxed
145.44174999999998,0.7344999999999999,1.041,145.74824999999998,Relaxed
58.44219402985075,0.2845,0.361,0.523,Relaxed
9.580882352941176,0.313,0.445,0.668,Relaxed
24.08705,0.2345,0.348,0.49674999999999997,Relaxed
