Freq1,Freq2,Freq3,Amp1,Amp2,Amp3,Gap1,Gap2,Label
43.457031,33.691406,47.851562,246050.201157,171216.845414,21093.545773,-9.765625,14.160156,Happy
55.175781,443.359375,349.609375,1216.877639,190.995948,167.525175,388.183594,-93.75,Happy
303.222656,249.511719,240.234375,79688.088601,45433.059833,21254.4369,-53.710938,-9.277344,Happy
237.304688,370.605469,253.417969,4.563488,0.954395,0.845339,133.300781,-117.1875,Happy
81.054688,82.519531,111.816406,1417811.383135,34677.809698,22631.467171,1.464844,29.296875,Happy
400.390625,270.996094,263.671875,2.202883,2.024667,1.049025,-129.394531,-7.324219,Happy
48.828125,210.449219,14.648438,2.939093,1.654714,1.517031,161.621094,-195.800781,Happy
465.332031,154.785156,423.828125,48733.482285,29789.663408,19229.335545,-310.546875,269.042969,Happy
329.589844,319.824219,427.246094,7.257756,2.675208,2.589561,-9.765625,107.421875,Happy
291.992188,113.28125,462.402344,28.22366,14.946619,10.351262,-178.710938,349.121094,Happy
203.369141,35.400391,204.833984,425.119252,34.725808,20.876618,-167.96875,169.433594,Stressed
10.742188,0.12207,56.518555,0.115662,0.037585,0.01712,-10.620117,56.396484,Stressed
57.861328,0.12207,472.77832,0.000295,0.00029,0.000281,-57.739258,472.65625,Stressed
8.544922,361.816406,77.270508,20281.033018,2149.276079,1103.028877,353.271484,-284.545898,Stressed
78.24707,359.25293,456.298828,0.052492,0.04566,0.012748,281.005859,97.045898,Stressed
285.644531,260.131836,311.279297,97.441367,4.778376,4.498494,-25.512695,51.147461,Stressed
468.62793,113.15918,196.777344,0.618202,0.239307,0.049405,-355.46875,83.618164,Stressed
499.87793,480.957031,175.170898,0.365801,0.018227,0.009069,-18.920898,-305.786133,Stressed
458.496094,66.162109,99.853516,0.485239,0.32333,0.14309,-392.333984,33.691406,Stressed
474.975586,236.450195,453.857422,0.031288,0.003093,0.002834,-238.525391,217.407227,Stressed
235.961914,239.501953,232.543945,219.485906,10.614696,10.248497,3.540039,-6.958008,Stressed
41.748047,139.038086,65.795898,105912.659612,43177.759015,37325.640347,97.290039,-73.242188,Stressed
260.253906,1.586914,261.352539,31082.619337,1624.616347,1495.271003,-258.666992,259.765625,Stressed
65.185547,2.685547,293.334961,38754.459956,12730.066342,2443.63754,-62.5,290.649414,Stressed
310.058594,345.092773,81.90918,746.918905,440.07128,120.917411,35.03418,-263.183594,Stressed
99.975586,447.998047,425.415039,1.451526,1.373747,0.4701,348.022461,-22.583008,Stressed
129.272461,423.339844,332.03125,28.879365,20.792661,14.228206,294.067383,-91.308594,Stressed
133.789062,142.822266,124.755859,3.445725,0.169902,0.162594,9.033203,-18.066406,Stressed
124.87793,390.136719,127.441406,3.957881,0.911935,0.247011,265.258789,-262.695312,Stressed
266.601562,253.173828,280.151367,1.931667,0.094241,0.086163,-13.427734,26.977539,Stressed
474.731445,15.258789,3.295898,2.998361,1.464417,1.140288,-459.472656,-11.962891,Stressed
156.494141,473.754883,150.390625,11.322364,3.838365,0.517237,317.260742,-323.364258,Stressed
279.052734,276.977539,281.12793,35.279141,1.889915,1.751905,-2.075195,4.150391,Stressed
21.972656,139.526367,373.901367,0.000555,0.000189,0.000143,117.553711,234.375,Stressed
488.891602,125.610352,218.994141,0.000212,0.000097,0.000076,-363.28125,93.383789,Stressed
236.572266,229.125977,467.163086,0.163843,0.010848,0.01059,-7.446289,238.037109,Stressed
150.024414,408.081055,474.853516,5.493994,0.687153,0.49652,258.056641,66.772461,Stressed
199.09668,132.568359,311.401367,1561.525833,1427.254571,537.804355,-66.52832,178.833008,Stressed
458.740234,456.420898,460.9375,2812.624578,142.687118,124.263579,-2.319336,4.516602,Stressed
443.847656,79.345703,421.99707,1.132654,0.067369,0.065989,-364.501953,342.651367,Stressed
70.3125,241.210938,402.099609,667.204402,567.977254,403.951373,170.898438,160.888672,Stressed
379.638672,351.318359,408.447266,28.22591,1.543728,1.129866,-28.320312,57.128906,Stressed
435.302734,417.724609,486.816406,0.149836,0.010879,0.009813,-17.578125,69.091797,Relaxed
152.587891,157.470703,147.460938,4799.665954,230.712944,222.12753,4.882812,-10.009766,Relaxed
173.583984,372.802734,485.839844,2.306431,0.460392,0.35856,199.21875,113.037109,Relaxed
100.830078,487.304688,367.431641,0.001621,0.00082,0.000752,386.474609,-119.873047,Relaxed
458.740234,454.345703,463.134766,23518.196154,1281.024877,883.774543,-4.394531,8.789062,Relaxed
421.386719,91.064453,24.902344,39.624835,13.347639,2.499275,-330.322266,-66.162109,Relaxed
28.076172,215.576172,37.841797,62.221819,12.786902,3.767754,187.5,-177.734375,Relaxed
416.259766,393.554688,439.697266,0.346281,0.02213,0.015161,-22.705078,46.142578,Relaxed
433.59375,11.962891,199.21875,3917.516814,2051.293087,1521.841862,-421.630859,187.255859,Relaxed
137.207031,163.574219,110.595703,0.028495,0.002821,0.001335,26.367188,-52.978516,Relaxed
415.527344,38.085938,354.492188,0.005432,0.001506,0.001012,-377.441406,316.40625,Relaxed
35.644531,225.830078,363.037109,14.180671,8.841106,7.697981,190.185547,137.207031,Relaxed
379.394531,394.287109,118.408203,0.006895,0.001919,0.001674,14.892578,-275.878906,Relaxed
255.371094,129.394531,260.253906,367.000323,266.47378,19.273183,-125.976562,130.859375,Relaxed
0.244141,19.287109,158.691406,0.009087,0.005451,0.002738,19.042969,139.404297,Relaxed
34.912109,301.513672,46.875,2.091105,1.282564,0.683089,266.601562,-254.638672,Relaxed
0.244141,7.324219,290.527344,0.156605,0.021612,0.014171,7.080078,283.203125,Relaxed
257.080078,236.572266,269.287109,15.046289,2.239803,0.962269,-20.507812,32.714844,Relaxed
282.958984,312.011719,191.894531,145.071957,102.29027,38.245108,29.052734,-120.117188,Relaxed
494.384766,460.693359,479.980469,247.008053,38.914558,28.672734,-33.691406,19.287109,Relaxed
496.337891,489.257812,483.642578,592.319681,59.307424,23.934994,-7.080078,-5.615234,Relaxed
466.552734,41.259766,468.017578,1686.676678,845.90419,150.977964,-425.292969,426.757812,Relaxed
361.328125,72.265625,96.923828,100.768561,88.458648,9.326209,-289.0625,24.658203,Relaxed
457.519531,47.119141,212.402344,24.775983,23.976026,22.470552,-410.400391,165.283203,Relaxed
467.529297,23.681641,479.492188,30.743693,14.753553,14.161001,-443.847656,455.810547,Relaxed
390.380859,145.996094,290.771484,2.452203,1.17706,0.855274,-244.384766,144.775391,Relaxed
63.964844,340.576172,73.974609,10.14599,6.047247,0.54916,276.611328,-266.601562,Relaxed
131.591797,138.183594,124.755859,18769.859571,922.069129,852.132289,6.591797,-13.427734,Relaxed
383.056641,369.873047,396.484375,237.144935,12.200283,10.163533,-13.183594,26.611328,Relaxed
430.664062,419.921875,441.650391,1.232985,0.068776,0.046535,-10.742188,21.728516,Relaxed
406.982422,420.410156,112.548828,0.014888,0.007661,0.003298,13.427734,-307.861328,Relaxed
407.958984,200.439453,190.185547,0.021651,0.012339,0.003404,-207.519531,-10.253906,Relaxed
58.349609,410.15625,352.539062,0.002678,0.00262,0.002566,351.806641,-57.617188,Relaxed
479.492188,43.212891,274.658203,0.000537,0.000479,0.000472,-436.279297,231.445312,Relaxed
31.25,51.757812,67.138672,0.42007,0.030732,0.012553,20.507812,15.380859,Relaxed
105.957031,227.539062,293.457031,3154.916226,1433.358951,227.720481,121.582031,65.917969,Relaxed
476.5625,472.900391,480.224609,2121.445356,113.437681,83.521944,-3.662109,7.324219,Relaxed
84.228516,86.425781,81.787109,498217.703437,23869.96601,22335.405612,2.197266,-4.638672,Relaxed
454.101562,415.527344,107.666016,0.000335,0.000276,0.000224,-38.574219,-307.861328,Relaxed
107.910156,129.638672,85.9375,2.55031,0.135594,0.098926,21.728516,-43.701172,Relaxed
115.478516,123.291016,107.421875,7665.704556,380.329555,340.688719,7.8125,-15.869141,Relaxed
9.277344,11.962891,6.591797,28363.664117,1674.717566,921.72562,2.685547,-5.371094,Relaxed
290.039062,171.630859,295.654297,24060.122818,3016.457364,1151.312779,-118.408203,124.023438,Relaxed
206.054688,150.146484,147.705078,1.669011,0.261679,0.244394,-55.908203,-2.441406,Relaxed
52.734375,460.449219,69.335938,0.001719,0.000906,0.000528,407.714844,-391.113281,Relaxed
281.494141,295.410156,267.822266,11.230309,0.530094,0.527779,13.916016,-27.587891,Relaxed
325.927734,469.726562,46.630859,0.727274,0.381519,0.218502,143.798828,-423.095703,Relaxed
343.505859,321.533203,365.966797,2.95834,0.156422,0.130215,-21.972656,44.433594,Relaxed
287.353516,302.490234,272.216797,27.891916,1.395518,1.067829,15.136719,-30.273438,Relaxed
18.798828,348.876953,25.146484,361.624251,285.179118,22.617529,330.078125,-323.730469,Relaxed
82.03125,61.035156,421.875,4.446101,2.076209,1.69394,-20.996094,360.839844,Relaxed
472.412109,185.546875,93.505859,0.00061,0.000276,0.000268,-286.865234,-92.041016,Relaxed
147.460938,156.494141,138.427734,206.092298,10.224836,9.630441,9.033203,-18.066406,Relaxed
11.474609,16.845703,20.751953,6404.563638,427.294166,173.69625,5.371094,3.90625,Relaxed
303.466797,278.076172,329.101562,948.276263,47.560699,42.675214,-25.390625,51.025391,Relaxed
22.216797,257.8125,28.320312,1818.909128,950.786758,236.56004,235.595703,-229.492188,Relaxed
301.025391,296.386719,305.419922,5624.963523,271.668633,255.22419,-4.638672,9.033203,Relaxed
406.982422,394.287109,419.677734,562.007908,29.461326,23.512166,-12.695312,25.390625,Relaxed
0.244141,312.255859,22.705078,0.003301,0.002032,0.001413,312.011719,-289.550781,Relaxed
303.955078,380.859375,288.818359,291.817203,205.958169,18.424082,76.904297,-92.041016,Relaxed
16.113281,271.728516,191.650391,1308.487526,742.894261,275.76055,255.615234,-80.078125,Relaxed
315.185547,36.865234,185.058594,0.000287,0.000188,0.000144,-278.320312,148.193359,Relaxed
391.357422,38.818359,398.193359,17.58597,14.778224,0.846278,-352.539062,359.375,Relaxed
420.410156,447.509766,415.283203,1.294368,0.117913,0.078245,27.099609,-32.226562,Relaxed
476.318359,341.796875,456.054688,640.582079,204.624025,48.475926,-134.521484,114.257812,Relaxed
126.220703,462.646484,130.126953,164.308029,27.043678,26.553402,336.425781,-332.519531,Relaxed
299.560547,183.59375,425.048828,78.206784,49.77147,35.022885,-115.966797,241.455078,Relaxed
499.755859,473.388672,454.101562,0.137555,0.007851,0.002744,-26.367188,-19.287109,Relaxed
185.791016,209.716797,493.164062,0.030375,0.028423,0.018847,23.925781,283.447266,Relaxed
449.951172,422.851562,308.349609,22.652114,1.51927,0.842876,-27.099609,-114.501953,Relaxed
297.851562,166.259766,314.453125,5.258402,3.108572,0.274168,-131.591797,148.193359,Relaxed
195.556641,482.421875,203.613281,903.656268,123.141916,46.054476,286.865234,-278.808594,Relaxed
432.617188,314.453125,258.056641,1456.364459,789.629595,593.624526,-118.164062,-56.396484,Relaxed
105.46875,408.935547,181.396484,0.000186,0.000166,0.000149,303.466797,-227.539062,Relaxed
352.050781,345.703125,219.238281,635.360728,216.929313,153.668041,-6.347656,-126.464844,Relaxed
222.167969,96.435547,232.666016,428.519893,307.499026,39.943805,-125.732422,136.230469,Relaxed
29.785156,323.486328,156.25,121.532518,106.805563,101.461495,293.701172,-167.236328,Relaxed
194.824219,234.375,177.734375,11.550804,1.313027,0.650436,39.550781,-56.640625,Relaxed
487.304688,158.935547,472.167969,9584.579912,1817.160861,854.020702,-328.369141,313.232422,Relaxed
137.207031,314.453125,395.507812,629.295115,80.941831,69.215425,177.246094,81.054688,Relaxed
207.03125,197.021484,217.285156,268.055682,13.006181,11.555163,-10.009766,20.263672,Relaxed
227.050781,153.808594,40.039062,87.867488,66.82462,42.47361,-73.242188,-113.769531,Relaxed
295.410156,406.982422,173.583984,1415.288678,866.967601,118.236379,111.572266,-233.398438,Relaxed
175.292969,189.941406,160.644531,9.683253,0.472148,0.444214,14.648438,-29.296875,Relaxed
25.390625,221.435547,165.527344,0.577776,0.354793,0.195125,196.044922,-55.908203,Relaxed
467.529297,192.382812,454.589844,4714.985898,692.450521,299.971429,-275.146484,262.207031,Relaxed
91.308594,366.455078,341.552734,2153.065112,293.638262,173.857433,275.146484,-24.902344,Relaxed
119.628906,299.316406,482.910156,4.673532,2.159187,1.56339,179.6875,183.59375,Relaxed
499.755859,98.632812,35.644531,0.52907,0.184512,0.070527,-401.123047,-62.988281,Relaxed
32.226562,437.5,188.720703,0.0297,0.015972,0.004395,405.273438,-248.779297,Relaxed
199.951172,212.646484,427.490234,0.493696,0.0298,0.02431,12.695312,214.84375,Relaxed
492.675781,98.632812,479.003906,0.138689,0.03724,0.013052,-394.042969,380.371094,Relaxed
245.361328,42.96875,394.042969,551.573017,204.278034,107.870678,-202.392578,351.074219,Relaxed
409.179688,95.947266,236.083984,567.430342,98.540671,28.390909,-313.232422,140.136719,Relaxed
33.203125,37.841797,28.320312,10.857694,0.621524,0.43149,4.638672,-9.521484,Relaxed
441.162109,431.396484,451.171875,15857.012169,863.087036,624.396909,-9.765625,19.775391,Relaxed
256.103516,281.005859,481.445312,966.85582,783.298002,151.629291,24.902344,200.439453,Relaxed
380.615234,371.337891,389.892578,72.048643,3.625509,3.164768,-9.277344,18.554688,Relaxed
270.019531,432.373047,251.220703,0.172865,0.01324,0.009516,162.353516,-181.152344,Relaxed
365.966797,391.357422,300.78125,0.001126,0.000353,0.000308,25.390625,-90.576172,Relaxed
155.517578,56.884766,130.859375,0.000913,0.000297,0.000284,-98.632812,73.974609,Relaxed
246.337891,228.027344,250.488281,21.826042,7.461969,1.286392,-18.310547,22.460938,Relaxed
329.101562,338.134766,319.824219,4.150129,0.185201,0.176116,9.033203,-18.310547,Relaxed
447.509766,64.453125,496.582031,2.268799,1.561288,1.297744,-383.056641,432.128906,Relaxed
200.683594,165.039062,19.775391,157.302842,38.84237,15.725049,-35.644531,-145.263672,Relaxed
293.457031,19.042969,280.517578,22.999574,3.283696,1.080137,-274.414062,261.474609,Relaxed
132.324219,447.509766,272.216797,63.297626,12.883067,3.820143,315.185547,-175.292969,Relaxed
137.207031,289.550781,379.150391,5861.705382,1771.301442,1451.050804,152.34375,89.599609,Relaxed
483.886719,465.087891,450.439453,18.155887,1.613213,0.675945,-18.798828,-14.648438,Relaxed
242.919922,202.392578,244.628906,52605.279482,51322.31797,2609.291783,-40.527344,42.236328,Relaxed
218.261719,205.566406,230.957031,0.363662,0.021581,0.017324,-12.695312,25.390625,Relaxed
203.613281,217.773438,26.855469,1996.264778,1969.603929,521.427791,14.160156,-190.917969,Relaxed
334.716797,316.40625,160.400391,2723.318834,499.572433,328.068253,-18.310547,-156.005859,Relaxed
370.849609,251.708984,16.601562,2855.277312,1878.376356,236.226256,-119.140625,-235.107422,Relaxed
195.556641,17.089844,203.613281,77889.696648,4938.249153,3963.879284,-178.466797,186.523438,Relaxed
