Freq1,Freq2,Freq3,Amp1,Amp2,Amp3,Gap1,Gap2,Label
39.0625,54.6875,70.3125,10052.745209,605.600902,260.324443,15.625,15.625,Happy
14.404297,238.037109,499.511719,2335.681686,463.700757,426.81444,223.632812,261.474609,Sad
254.882812,10.498047,268.066406,2.597614,0.578708,0.126525,-244.384766,257.568359,Sad
209.228516,187.255859,231.201172,0.006015,0.000412,0.000341,-21.972656,43.945312,Sad
479.248047,455.078125,133.056641,0.003575,0.000667,0.000494,-24.169922,-322.021484,Sad
365.722656,386.474609,313.232422,0.000415,0.00031,0.000261,20.751953,-73.242188,Sad
250,458.496094,295.166016,27963.52356,7732.117362,2232.903666,208.496094,-163.330078,Sad
402.587891,166.259766,153.564453,5.213097,1.878144,1.850304,-236.328125,-12.695312,Sad
177.246094,194.824219,159.667969,0.202999,0.012154,0.009919,17.578125,-35.15625,Sad
260.742188,240.234375,281.494141,1238.720877,59.30054,58.241103,-20.507812,41.259766,Sad
80.810547,381.835938,166.015625,0.000065,0.000052,0.000051,301.025391,-215.820312,Stressed
220.458984,406.25,100.341797,0.002017,0.001521,0.000752,185.791016,-305.908203,Stressed
234.375,422.607422,464.599609,3.363521,2.690576,0.531193,188.232422,41.992188,Stressed
102.050781,89.599609,114.257812,0.025492,0.002019,0.001741,-12.451172,24.658203,Stressed
176.025391,73.486328,387.207031,0.018753,0.002916,0.00285,-102.539062,313.720703,Stressed
280.029297,291.503906,268.554688,6.808656,0.33086,0.310994,11.474609,-22.949219,Stressed
49.804688,326.416016,8.544922,27.464344,12.840807,7.211444,276.611328,-317.871094,Stressed
40.771484,499.755859,64.208984,0.000156,0.000139,0.000136,458.984375,-435.546875,Stressed
305.175781,389.892578,356.689453,0.005692,0.004264,0.002649,84.716797,-33.203125,Stressed
485.351562,427.246094,466.552734,0.13691,0.035213,0.008798,-58.105469,39.306641,Stressed
40.039062,58.349609,72.021484,63.054652,4.229862,1.723998,18.310547,13.671875,Stressed
230.957031,219.482422,241.943359,0.028078,0.003938,0.001937,-11.474609,22.460938,Stressed
322.753906,316.894531,67.871094,0.045986,0.011762,0.010348,-5.859375,-249.023438,Stressed
107.177734,129.638672,103.271484,1.345161,0.099795,0.08849,22.460938,-26.367188,Stressed
94.482422,400.390625,111.083984,103.814555,8.036227,6.217469,305.908203,-289.306641,Stressed
137.695312,120.361328,155.029297,0.357135,0.021642,0.020401,-17.333984,34.667969,Stressed
153.076172,167.724609,138.427734,5411.493073,276.630387,234.764547,14.648438,-29.296875,Stressed
447.021484,177.001953,328.613281,0.005921,0.000635,0.000492,-270.019531,151.611328,Stressed
118.164062,145.751953,89.84375,331.036142,18.635131,12.59148,27.587891,-55.908203,Stressed
75.439453,100.830078,18.310547,8.724405,0.675203,0.506392,25.390625,-82.519531,Stressed
16.845703,24.414062,30.029297,19435.767046,1294.518651,529.317402,7.568359,5.615234,Stressed
389.404297,480.712891,91.308594,12.253934,10.858304,5.905785,91.308594,-389.404297,Stressed
49.804688,57.128906,28.076172,7768.235427,5214.438625,3265.236674,7.324219,-29.052734,Stressed
432.373047,411.376953,453.857422,9.534826,0.584072,0.309891,-20.996094,42.480469,Stressed
67.626953,81.054688,53.710938,645.822092,36.117038,24.615296,13.427734,-27.34375,Stressed
239.013672,226.318359,251.464844,9.853639,0.464364,0.451754,-12.695312,25.146484,Stressed
256.591797,385.986328,236.816406,0.607516,0.445801,0.039661,129.394531,-149.169922,Stressed
111.083984,114.013672,108.154297,97047.472961,4648.413584,4319.705652,2.929688,-5.859375,Stressed
350.585938,116.699219,50.78125,0.009756,0.008199,0.001822,-233.886719,-65.917969,Stressed
390.869141,20.019531,15.625,115.950736,37.83472,23.889047,-370.849609,-4.394531,Stressed
269.287109,21.728516,271.240234,40616.030358,5964.459888,1953.454122,-247.558594,249.511719,Stressed
100.585938,254.638672,102.783203,94827.395514,8634.056046,4379.56977,154.052734,-151.855469,Stressed
185.302734,195.800781,174.560547,138.662277,6.694434,6.391645,10.498047,-21.240234,Stressed
451.660156,425.537109,406.25,931.043856,64.503296,26.759871,-26.123047,-19.287109,Stressed
