Freq1,Freq2,Freq3,Amp1,Amp2,Amp3,Gap1,Gap2,Label
193.359375,217.773438,167.96875,18487918.917861,927123.584818,828185.297163,24.414062,-49.804688,Happy
52.734375,60.546875,43.945312,947845.855918,48002.967345,36238.693483,7.8125,-16.601562,Happy
417.96875,181.640625,410.15625,2135.739798,343.036515,107.680921,-236.328125,228.515625,Happy
429.6875,223.632812,327.148438,949.589489,258.586549,251.321286,-206.054688,103.515625,Happy
464.84375,480.46875,450.195312,50.658221,4.363528,3.786799,15.625,-30.273438,Happy
30.273438,296.875,224.609375,3.012684,1.919659,1.666173,266.601562,-72.265625,Happy
104.492188,109.375,99.609375,528608849.465464,25646880.273467,22234748.396713,4.882812,-9.765625,Happy
261.71875,312.5,486.328125,3.882904,2.216332,2.10462,50.78125,173.828125,Happy
22.460938,37.109375,48.828125,5423.452521,391.645424,160.127231,14.648438,11.71875,Happy
0.976562,4.882812,7.8125,227168077.754317,13894137.751977,4887567.00994,3.90625,2.929688,Happy
28.320312,405.273438,46.875,1.498126,1.021655,0.574156,376.953125,-358.398438,Happy
183.59375,179.6875,188.476562,3720831838.393738,319500487.697321,200896080.033422,-3.90625,8.789062,Happy
153.320312,465.820312,188.476562,304.30288,138.708857,80.871303,312.5,-277.34375,Happy
490.234375,484.375,480.46875,214702645.331342,13453630.634542,5684741.008643,-5.859375,-3.90625,Happy
0.976562,15.625,218.75,0.048814,0.006267,0.005975,14.648438,203.125,Happy
275.390625,250.976562,300.78125,857070.817548,42395.730555,37840.7934,-24.414062,49.804688,Happy
270.507812,289.0625,251.953125,4401.816591,246.988121,144.949474,18.554688,-37.109375,Happy
241.210938,250.976562,232.421875,21819126.076286,1038097.394157,995148.859266,9.765625,-18.554688,Happy
490.234375,61.523438,478.515625,19122338.668821,3600468.442877,1706241.749905,-428.710938,416.992188,Happy
0.976562,344.726562,294.921875,29.251309,13.18977,8.898137,343.75,-49.804688,Happy
110.351562,293.945312,80.078125,22028139.388663,3801983.034276,2053998.575497,183.59375,-213.867188,Happy
29.296875,27.34375,33.203125,199998413508.2506,9068697010.925707,4240722010.431432,-1.953125,5.859375,Happy
2.929688,307.617188,397.460938,75504.254701,56543.60692,12976.546318,304.6875,89.84375,Happy
185.546875,395.507812,202.148438,99.271084,17.266433,5.462062,209.960938,-193.359375,Happy
393.554688,375.976562,359.375,270.922586,260.128992,30.392269,-17.578125,-16.601562,Happy
425.78125,250,139.648438,128.528021,35.136168,19.894748,-175.78125,-110.351562,Happy
175.78125,382.8125,250,23151.516254,18903.902036,2712.855275,207.03125,-132.8125,Stressed
257.8125,62.5,113.28125,75821.295656,10692.130169,9533.639446,-195.3125,50.78125,Stressed
453.125,429.6875,410.15625,1988.500049,140.032822,55.263531,-23.4375,-19.53125,Stressed
460.9375,328.125,72.265625,73.602581,18.606542,11.114167,-132.8125,-255.859375,Relaxed
458.984375,431.640625,177.734375,19984.599084,1460.23867,1008.460614,-27.34375,-253.90625,Relaxed
107.421875,132.8125,82.03125,361.596782,21.034878,14.212323,25.390625,-50.78125,Relaxed
345.703125,482.421875,291.015625,16591.794552,15675.092217,5179.677017,136.71875,-191.40625,Relaxed
130.859375,138.671875,5.859375,4807746574.171218,237426294.161852,212314288.859556,7.8125,-132.8125,Relaxed
458.984375,416.015625,445.3125,160.346777,24.824665,9.432572,-42.96875,29.296875,Relaxed
95.703125,115.234375,76.171875,24611879.841888,1361412.038626,951312.101375,19.53125,-39.0625,Relaxed
148.4375,201.171875,496.09375,4305.289767,396.080386,362.786077,52.734375,294.921875,Relaxed
76.171875,453.125,97.65625,82.300152,52.794395,4.965163,376.953125,-355.46875,Relaxed
184.023194,252.304439,245.045944,57853.908412,13067.470358,3754.635939,142.826017,-31.088285,Stressed
252.65127,255.592594,202.487769,38639.435261,14744.774034,3503.841753,-102.989046,-11.660323,Stressed
195.331373,262.366203,233.492983,52108.391508,10731.978066,3720.601827,-185.890388,-78.654171,Stressed
218.295725,236.927712,192.181676,65028.544404,15811.051572,8273.792248,-191.013694,21.214702,Stressed
317.915755,423.754297,389.302512,6353.919972,16007.805177,1135.683091,195.470903,-78.525764,Stressed
442.495276,401.919723,305.226103,4524.655643,12383.020415,2671.191679,24.209035,-61.972014,Stressed
