Freq1,Freq2,Freq3,Amp1,Amp2,Amp3,Gap1,Gap2,Label
149.414062,285.644531,292.480469,28824.829636,3998.069956,1285.285346,136.230469,6.835938,Happy
18.554688,79.101562,415.527344,0.003156,0.002489,0.002173,60.546875,336.425781,Happy
362.304688,84.960938,162.109375,12082.865418,6862.161694,4128.868642,-277.34375,77.148438,Happy
348.144531,145.019531,346.679688,292917.712988,15910.982791,12081.16263,-203.125,201.660156,Happy
24.414062,31.25,17.578125,21245.154122,1218.039388,667.837309,6.835938,-13.671875,Sad
304.199219,135.742188,385.253906,283301.772604,8977.755449,1328.859221,-168.457031,249.511719,Sad
233.886719,383.300781,77.636719,146.1661,17.362207,16.258259,149.414062,-305.664062,Sad
34.179688,49.804688,292.96875,514.526275,33.759067,25.010052,15.625,243.164062,Sad
269.042969,438.476562,258.300781,2.350081,0.204994,0.174489,169.433594,-180.175781,Sad
17.089844,36.621094,51.757812,821.490468,73.959685,30.557545,19.53125,15.136719,Sad
396.972656,269.53125,249.023438,0.729813,0.143316,0.056548,-127.441406,-20.507812,Sad
70.3125,252.441406,421.875,0.011632,0.004366,0.004281,182.128906,169.433594,Sad
418.945312,19.042969,440.917969,0.005483,0.002129,0.002043,-399.902344,421.875,Sad
361.816406,429.199219,132.8125,342.642919,64.013584,33.021553,67.382812,-296.386719,Sad
47.363281,45.898438,49.804688,9143117.35536,138550.517395,98444.635321,-1.464844,3.90625,Sad
55.175781,70.3125,439.453125,354.696427,31.22945,17.738654,15.136719,369.140625,Sad
81.054688,82.03125,311.523438,3855.899538,1674.262574,1120.426572,0.976562,229.492188,Sad
394.042969,317.871094,135.742188,0.110149,0.03939,0.027556,-76.171875,-182.128906,Sad
298.339844,277.34375,319.824219,293.123517,15.037941,13.921387,-20.996094,42.480469,Sad
176.757812,283.691406,159.667969,5484.704225,2563.061643,777.42869,106.933594,-124.023438,Sad
121.09375,136.71875,105.957031,5.227954,0.311566,0.20943,15.625,-30.761719,Sad
82.519531,93.75,149.414062,0.175229,0.020942,0.01382,11.230469,55.664062,Sad
282.226562,74.707031,280.761719,25946.490573,4941.669739,1191.76055,-207.519531,206.054688,Sad
79.589844,1.953125,66.40625,1273.526612,589.537553,358.45087,-77.636719,64.453125,Sad
164.0625,103.515625,160.15625,1576732.059872,483101.382901,41350.827476,-60.546875,56.640625,Stressed
356.445312,249.511719,366.699219,2.291897,0.803464,0.13604,-106.933594,117.1875,Relaxed
308.837891,293.457031,14.160156,410.072479,283.900651,47.133364,-15.380859,-279.296875,Relaxed
122.802734,151.855469,93.505859,879.684735,49.980513,36.026939,29.052734,-58.349609,Relaxed
124.023438,19.287109,147.949219,0.530711,0.212806,0.039964,-104.736328,128.662109,Relaxed
297.607422,74.462891,463.867188,0.001712,0.001362,0.00131,-223.144531,389.404297,Relaxed
169.189453,262.939453,276.855469,10408.467888,9083.173422,4393.747764,93.75,13.916016,Relaxed
259.277344,268.066406,250.488281,7.08984,0.364309,0.349766,8.789062,-17.578125,Relaxed
487.548828,472.900391,461.425781,1392.030577,123.645846,51.851663,-14.648438,-11.474609,Relaxed
217.285156,229.736328,205.078125,2059.423776,98.095676,96.455561,12.451172,-24.658203,Relaxed
36.865234,45.410156,28.320312,4.612652,0.271925,0.179874,8.544922,-17.089844,Relaxed
201.171875,118.896484,460.205078,266.974296,113.860407,94.826417,-82.275391,341.308594,Relaxed
82.519531,61.767578,326.904297,4954.959644,1629.422915,868.027052,-20.751953,265.136719,Relaxed
121.09375,132.568359,109.375,5115.40518,257.08823,223.843874,11.474609,-23.193359,Relaxed
358.886719,103.515625,369.628906,1.322073,0.806539,0.716965,-255.371094,266.113281,Relaxed
410.888672,212.890625,352.294922,0.258348,0.095792,0.019405,-197.998047,139.404297,Relaxed
334.960938,34.423828,394.287109,20.773927,8.849867,2.927879,-300.537109,359.863281,Relaxed
227.294922,219.238281,235.351562,134.044976,6.599105,5.949797,-8.056641,16.113281,Relaxed
62.744141,80.322266,44.921875,262.318966,15.073083,8.892707,17.578125,-35.400391,Relaxed
13.916016,337.158203,76.904297,3183.482066,937.105572,200.34646,323.242188,-260.253906,Relaxed
233.886719,252.441406,215.087891,2473.07649,118.673647,115.867512,18.554688,-37.353516,Relaxed
197.509766,206.542969,188.232422,1385.339977,66.951899,63.83894,9.033203,-18.310547,Relaxed
359.375,315.917969,402.34375,0.009168,0.004047,0.003563,-43.457031,86.425781,Relaxed
362.792969,350.097656,375.488281,6375.710395,319.804126,282.022868,-12.695312,25.390625,Relaxed
492.431641,478.759766,467.529297,6016.499399,604.274256,244.310962,-13.671875,-11.230469,Relaxed
326.660156,312.5,340.820312,325.199977,17.109344,11.799974,-14.160156,28.320312,Relaxed
151.123047,175.048828,145.507812,9776.679684,626.558025,482.150956,23.925781,-29.541016,Relaxed
146.972656,0.244141,56.884766,0.001948,0.001639,0.000864,-146.728516,56.640625,Relaxed
263.671875,276.611328,250.732422,1052.271267,50.52257,49.321756,12.939453,-25.878906,Relaxed
139.892578,45.410156,87.402344,420.955642,141.392801,33.36997,-94.482422,41.992188,Relaxed
105.957031,59.814453,45.898438,22924.919095,9169.383505,3438.483373,-46.142578,-13.916016,Relaxed
